Orignal Page URL,Company Name,Phone Number,Website,EMail
http://www.buildhr.com/company/d6FA3/,浙江省东阳第三建筑工程有限公司江西九江分公司,0792-8276817,,5320328160qq.com
http://www.buildhr.com/company/YMHfR/,陕西华夏建筑设计有限公司,"029-87852328,029-87852328",www.s-hxsj.com,hxs jy878523280163.com
http://www.buildhr.com/company/dUFjI/,武汉沃蓝规划设计有限公司,027-87058977,,337254336qq.com
http://www.buildhr.com/company/dmF0M/,启迪设计集团股份有限公司合肥分公司,15555181712,,6547705166qq.com
http://www.buildhr.com/company/OxfNx/,湖北万域通工程有限公司,"027-88776516,15907163672",,1632487218¢q9.com
http://www.buildhr.com/company/djFNx/,山西中泓远建筑器材有限公司,"0355-2029336,15503551089",,645089148eqq.com
http://www.buildhr.com/company/Jhr6f/,中信建筑设计研究总院有限公司西南分公司,,,304039567¢qq.com
http://www.buildhr.com/company/ZjOAp/,四川盛鸿基业建设工程有限公司,18081515859,,3409317546¢qq.com
http://www.buildhr.com/company/dEFcA/,成都大和景上风景园林工程设计有限公司,18380301559,,11434180956qq.com
http://www.buildhr.com/company/5tZSU/,成都木原建筑设计院有限公司,"028-86285787-202,17751328409,028-86285787-100",,97569135a¢qq.com
http://www.buildhr.com/company/kWB2D/,成都新城建筑设计有限公司,028-83973561,,6253710316qq.com
http://www.buildhr.com/company/dAFZY/,四川天恒璞建筑装饰工程有限公司,028-87430598,,3351406096¢qq.com
http://www.buildhr.com/company/Jhz8r/,四川东润景观设计有限公司,028-86950439,http://www.sc-dr.com,554814882¢qq.com
http://www.buildhr.com/company/d5FaD/,成都碧城园林绿化有限公司,"028-85484377,18708107771",,66698132eqq.com
http://www.buildhr.com/company/SekKk/,成都塞纳园境设计咨询有限公司,,http://www.ccld.cn,974035498¢qq.com
http://www.buildhr.com/company/W7hhN/,四川时代建筑设计有限公司,"028-65251288-8304,18349145112",www.architimes.cn,32254463220qq.com
http://www.buildhr.com/company/diFs0/,四川大合建设工程有限公司,,,dhzp_20186163.com
http://www.buildhr.com/company/ZwnAb/,北京中外建建筑设计有限公司四川分公司工程部,,,2408564126qq.com
http://www.buildhr.com/company/JhQ70/,四川省医药设计院有限公司,028-6529 1618-8100,http://tp.ccwi.cn/yiyao/,4596963090qq.com
http://www.buildhr.com/company/dPF8y/,成都宽澜誉联室内建筑设计有限公司,028-85266868,,8413521986qq.com
http://www.buildhr.com/company/d7FDR/,四川空造建筑设计有限公司,13980642395,,5539853016qq.com
